OrderID,OrderTransactTime,ExecutionTransactTime,Symbol,Side,OrderQty,LimitPrice,AvgPx,LastMkt
ID80322,20250910-09:19:44.080,20250910-09:19:44.182,CGTL,1,329,0.92,0.919900,ID1516
ID80301,20250910-09:19:42.523,20250910-09:19:44.980,INLF,1,1000,1.02,1.020000,ID1516
ID80377,20250910-09:19:47.889,20250910-09:19:47.990,CGTL,1,100,0.92,0.916300,ID1516
ID80383,20250910-09:19:48.348,20250910-09:19:48.452,AEHL,2,20,14,14.490000,ID1516
ID79158,20250910-09:17:59.172,20250910-09:19:49.100,JBDI,2,5,2.84,2.840000,ID1516
ID80362,20250910-09:19:47.486,20250910-09:19:49.719,INLF,1,224,1.03,1.030000,ID1516
ID80412,20250910-09:19:49.623,20250910-09:19:49.726,AEHL,1,7,15.7,14.540000,ID1516
ID80400,20250910-09:19:48.734,20250910-09:19:49.922,INLF,1,500,1.03,1.030000,ID1516
ID80420,20250910-09:19:49.888,20250910-09:19:49.990,CGTL,1,3000,0.92,0.915600,ID1516
ID80430,20250910-09:19:51.157,20250910-09:19:51.259,MWYN,1,25,2.68,2.670000,ID1516
ID80434,20250910-09:19:51.375,20250910-09:19:51.478,IREN,1,86,31,31.000000,ID1516
ID80451,20250910-09:19:53.037,20250910-09:19:53.140,YANG,1,999,23.45,23.450000,ID1516
ID80455,20250910-09:19:53.068,20250910-09:19:53.173,CUPR,2,253,2.59,2.610000,ID1516
ID80459,20250910-09:19:53.209,20250910-09:19:53.312,CGTL,1,97,0.92,0.916300,ID1516
ID80489,20250910-09:19:56.580,20250910-09:19:56.683,CGTL,1,150,0.92,0.916300,ID1516
ID80445,20250910-09:19:52.543,20250910-09:19:57.595,MWYN,1,22,2.62,2.620000,ID1516
ID80508,20250910-09:19:57.896,20250910-09:19:57.999,JEM,2,3360,0.575,0.585900,ID1516
ID80522,20250910-09:19:59.880,20250910-09:19:59.983,ASST,1,36,13.9,13.900000,ID1516
ID72875,20250910-09:10:13.861,20250910-09:20:03.619,MP,1,20,63.79,63.790000,ID1516
ID80541,20250910-09:20:02.244,20250910-09:20:03.968,AEHL,1,1,14.44,14.440000,ID1516
ID80551,20250910-09:20:03.259,20250910-09:20:03.970,AEHL,1,12,14.33,14.330000,ID1516
ID80223,20250910-09:19:33.498,20250910-09:20:04.239,MWYN,1,500,2.6,2.600000,ID1516
ID80486,20250910-09:19:56.457,20250910-09:20:04.240,MWYN,1,82,2.58,2.580000,ID1516
ID80114,20250910-09:19:23.668,20250910-09:20:04.275,ASST,1,7,13.79,13.790000,ID1516
ID80593,20250910-09:20:06.770,20250910-09:20:06.873,BIYA,2,1110,0.7531,0.754000,ID1516
ID80232,20250910-09:19:33.892,20250910-09:20:10.188,AEHL,1,58,14,14.000000,ID1516
ID80573,20250910-09:20:04.369,20250910-09:20:10.188,AEHL,1,976,14,14.000000,ID1516
ID80642,20250910-09:20:11.619,20250910-09:20:12.005,INLF,1,50,1.02,1.020000,ID1516
ID80498,20250910-09:19:57.359,20250910-09:20:13.198,MWYN,2,30,2.65,2.650000,ID1516
ID80635,20250910-09:20:11.152,20250910-09:20:15.650,INLF,1,60,1.01,1.010000,ID1516
ID79441,20250910-09:18:21.126,20250910-09:20:15.650,INLF,1,666,1.01,1.010000,ID1516
